timestamp,close,volume,trade_count,vwap
2016-01-04,201.0192,225903783.0,655489.0,199.753436
2016-01-05,201.36,112719152.0,418709.0,201.08538
2016-01-06,198.82,153948196.0,548386.0,198.839872
2016-01-07,194.05,216191953.0,796451.0,195.202134
2016-01-08,191.923,216105404.0,754102.0,193.673322
2016-01-11,192.11,205368067.0,701548.0,191.73331
2016-01-12,193.6608,175844276.0,635749.0,192.886175
2016-01-13,188.83,223632834.0,812694.0,191.02704
2016-01-14,191.93,243821116.0,824320.0,190.932282
2016-01-15,187.81,333774073.0,1104776.0,187.392956
2016-01-19,188.06,207102007.0,700807.0,188.292481
2016-01-20,185.65,293247287.0,1102479.0,184.047582
2016-01-21,186.69,199821181.0,805415.0,187.015691
2016-01-22,190.52,171389049.0,613543.0,189.957634
2016-01-25,187.64,135298156.0,489715.0,188.906784
2016-01-26,190.2,143190788.0,498828.0,189.66909
2016-01-27,188.13,189479992.0,744100.0,189.290563
2016-01-28,189.11,145256707.0,618989.0,188.96069
2016-01-29,193.7208,226671934.0,637145.0,192.41367
2016-02-01,193.65,139106693.0,488411.0,193.202223
2016-02-02,190.16,183818148.0,575174.0,190.665085
2016-02-03,191.3,206689208.0,885130.0,189.533173
2016-02-04,191.6,140494107.0,638013.0,191.286811
2016-02-05,187.95,183498109.0,666599.0,188.62584
2016-02-08,185.42,193210895.0,769589.0,184.364566
2016-02-09,185.43,187349355.0,786774.0,185.058705
2016-02-10,185.27,149270874.0,657626.0,186.662159
2016-02-11,182.86,220503168.0,877027.0,182.644101
2016-02-12,186.63,132827109.0,521864.0,185.601668
2016-02-16,189.78,124806967.0,447874.0,189.045341
2016-02-17,192.88,137936059.0,531583.0,192.458324
2016-02-18,192.09,103630950.0,459680.0,192.358563
2016-02-19,192.0,117844861.0,424661.0,191.522214
2016-02-22,194.78,110378274.0,360507.0,194.558829
2016-02-23,192.32,112962491.0,434602.0,192.984896
2016-02-24,193.2,159573885.0,588124.0,191.410962
2016-02-25,195.54,114169518.0,417790.0,194.246745
2016-02-26,195.0892,133322130.0,461021.0,195.707545
2016-02-29,193.35,130754750.0,428044.0,194.75753
2016-03-01,198.11,149240057.0,495960.0,196.920446
2016-03-02,199.0,105710824.0,424659.0,198.181068
2016-03-03,199.775,99753935.0,372930.0,198.974139
2016-03-04,200.43,130997120.0,497772.0,200.291078
2016-03-07,200.59,103795836.0,376260.0,200.16169
2016-03-08,198.4,130694666.0,503031.0,198.963577
2016-03-09,199.38,99817255.0,366554.0,199.211441
2016-03-10,199.54,162803575.0,629939.0,199.085366
2016-03-11,202.76,140096982.0,426087.0,202.087419
2016-03-14,202.5,75780385.0,297697.0,202.465303
2016-03-15,202.17,100377847.0,322276.0,201.74184
2016-03-16,203.34,134058622.0,497352.0,202.792213
2016-03-17,204.63,142855629.0,424816.0,204.33736
2016-03-18,204.38,143516983.0,448892.0,204.373264
2016-03-21,204.67,74822013.0,281086.0,204.468116
2016-03-22,204.56,102471246.0,334193.0,204.604048
2016-03-23,203.2092,82298399.0,348025.0,203.652408
2016-03-24,203.12,87233294.0,309977.0,202.527119
2016-03-28,203.24,65368442.0,265041.0,203.316195
2016-03-29,205.1208,95285880.0,370202.0,204.127735
2016-03-30,206.02,88696267.0,336442.0,206.262231
2016-03-31,205.52,100166636.0,330389.0,205.876622
2016-04-01,206.92,121327177.0,396906.0,206.051177
2016-04-04,206.25,68935505.0,249273.0,206.399366
2016-04-05,204.19,101675003.0,351546.0,204.539341
2016-04-06,206.42,94201589.0,391435.0,205.402711
2016-04-07,203.95,116797387.0,411651.0,204.167771
2016-04-08,204.4992,100794149.0,352141.0,204.81197
